"Slide Name"	"Experiment"
"shac091"	"BC503B-BE"
"shac092"	"BC713A-BE"
"shac093"	"BC406A-2ndTUMOR"
"shac100"	"BC610A-BE"
"shac107"	"BC210B-AF"
"shac110"	"BC201B-BE"
"shac112"	"BC-HBC2"
"shac113"	"BC-HBC3"
"shaz104"	"BC/FUMI06-BE"
"shaz105"	"BC/FUMI06-AF"
"shaz110"	"BC/FUMI05-BE"
"shaz111"	"BC/FUMI05-AF"
"shaz112"	"BC/FUMI01-BE"
"shaz114"	"BC/FUMI35-BE"
"shaz115"	"BC/FUMI35-AF"
"shaz116"	"BC/FUMI07-BE"
"shaz117"	"BC/FUMI07-AF"
"shaz119"	"BC/FUMI09-AF"
"shaz121"	"BC/FUMI15-BE"
"shaz122"	"BC/FUMI27"
"shaz124"	"BC/FUMI17-AF"
"shaz125"	"BC/FUMI26-BE"
"shaz126"	"BC/FUMI37-BE"
"shaz127"	"BC/FUMI37-AF"
"shaz129"	"BC/FUMI23-BE"
"shaz130"	"BC/FUMI23-AF"
"shaz131"	"BC/FUMI39-BE"
"shaz132"	"BC/FUMI16-BE"
"shaz133"	"BC/FUMI24-BE"
"shaz134"	"BC/FUMI29-BE"
"shaz135"	"BC/FUMI30-AF"
"shaz140"	"BC/FUMI10-BE"
"shbg109"	"BC/FUMI12-BE"
"shbg110"	"BC/FUMI22-BE"
"shbg112"	"BC/FUMI25-AF"
"shbg128"	"BC/FUMI19-BE"
"shbt053"	"BC-D-015"
"shbt059"	"BC-D-025"
"shbt072"	"BC-D-060"
"shbt078"	"BC-D-060LN"
"shbt079"	"BC-L-075"
"shby020"	"BC/FUMI20-BE"
"shby021"	"BC/FUMI44-BE"
"shby022"	"BC/FUMI09-BE"
"shby024"	"BC/FUMI02-AF"
"shby028"	"BC/FUMI04-BE"
"shby031"	"BC/FUMI01-AF"
"shby032"	"BC/FUMI20-AF"
"shby033"	"BC/FUMI08-BE"
"shby034"	"BC703A-AF"
"shby035"	"BC601A-BE"
"shby036"	"BC601B-AF"
"shby037"	"BC703B-BE"
"shby038"	"BC102B-BE"
"shby039"	"BC205A-BE"
"shby040"	"BC105A-BE"
"shby041"	"BC/FUMI14-BE"
"shby042"	"BC/FUMI18-BE"
"shby043"	"BC/FUMI25-BE"
"shby044"	"BC/FUMI39-AF"
"shby046"	"BC/FUMI27-BE"
"shby049"	"BC/FUMI41-BE"
"shby050"	"BC/FUMI43-BE"
"shby051"	"BC/FUMI45-BE"
"shby052"	"BC/FUMI27-AF"
"shby236"	"BC/FUMI02-BE"
"shby245"	"BC/FUMI11-BE"
"shby246"	"BC/FUMI16-AF"
"shby249"	"BC/FUMI40-BE"
"shcb114"	"22TC"
"shcb116"	"47TC"
"shcb127"	"BC-D-038LN"
"shcb129"	"BC-D-048"
"shcb131"	"BC-D-035"
"shcb132"	"BC-D-038"
"shcb134"	"BC-D-057"
"shcb140"	"K-D-026"
"shcb141"	"K-D-011"
"shcb142"	"K-D-012"
"shcb143"	"K-D-013"
"shcb145"	"ULL-L-019"
"shcb146"	"ULL-L-031"
"shcb147"	"K-D-015"
"shcb148"	"K-D-016"
"shcb149"	"K-D-017"
"shcb150"	"K-D-018"
"shcb151"	"K-D-019"
"shcb153"	"K-D-021"
"shcb155"	"ULL-L-069"
"shcb156"	"ULL-L-181"
"shcb157"	"ULL-L-112"
"shcb158"	"ULL-L-036"
"shcb159"	"ULL-L-062"
"shcb160"	"ULL-L-105"
"shcb161"	"K-D-031"
"shcb162"	"K-D-032Q"
"shcb163"	"K-D-034"
"shcb164"	"K-Pap-035"
"shce150"	"BC-L-014"
"shce152"	"BC-L-058"
"shce159"	"BC-D-101"
"shce162"	"BC-L-090"
"shce_157"	"BC-L-081"
"shck150"	"ULL-D-022"
"shck161"	"BC-N-031"
"shck163"	"BC-D-031"
"shck164"	"BC-D-045"
"shck165"	"BC-N-058"
"shck167"	"BC-N-083"
"shck169"	"BC-N-047"
"shck170"	"BC-N-045"
"shck171"	"BC-N-074"
"shck172"	"BC-N-061"
"shck173"	"BC-N-076"
"shck175"	"BC-N-054"
"shck177"	"BC-D-047"
"shck178"	"BC-D-017"
"shck179"	"BC-D-032"
"shck181"	"BC-D-085"
"shck182"	"BC-D-007"
